CHAPTER                    	CHAPTER
I.                         	I.
Mrs.                       	Mrs.
Rachel                     	Rachel
Lynde                      	Lynde
is                         	is
Surprised                  	Surprised
Mrs.                       	Mrs.
Rachel                     	Rachel
Lynde                      	Lynde
lived                      	lived
just                       	just
where                      	where
the                        	the
Avonlea                    	Avonlea
main                       	main
road                       	road
dipped                     	dipped
down                       	down
into                       	into
a                          	a
little                     	little
hollow,                    	hollow,
fringed                    	fringed
with                       	with
alders                     	alders
and                        	and
ladies’                    	ladies'                    	.
eardrops                   	eardrops
and                        	and
traversed                  	traversed
by                         	by
a                          	a
brook                      	brook
that                       	that
had                        	had
its                        	its
source                     	source
away                       	away
back                       	back
in                         	in
the                        	the
woods                      	woods
of                         	of
the                        	the
old                        	old
Cuthbert                   	Cuthbert
place;                     	place;
it                         	it
was                        	was
reputed                    	reputed
to                         	to
be                         	be
an                         	an
intricate,                 	intricate,
headlong                   	headlong
brook                      	brook
in                         	in
its                        	its
earlier                    	earlier
course                     	course
through                    	through
those                      	those
woods,                     	woods,
with                       	with
dark                       	dark
secrets                    	secrets
of                         	of
pool                       	pool
and                        	and
cascade;                   	cascade;
but                        	but
by                         	by
the                        	the
time                       	time
it                         	it
reached                    	reached
Lynde’s                    	Lynde's                    	.
Hollow                     	Hollow
it                         	it
was                        	was
a                          	a
quiet,                     	quiet,
well-conducted             	well-conducted
little                     	little
stream,                    	stream,
for                        	for
not                        	not
even                       	even
a                          	a
brook                      	brook
could                      	could
run                        	run
past                       	past
Mrs.                       	Mrs.
Rachel                     	Rachel
Lynde’s                    	Lynde's                    	.
door                       	door
without                    	without
due                        	due
regard                     	regard
for                        	for
decency                    	decency
and                        	and
decorum;                   	decorum;
it                         	it
probably                   	probably
was                        	was
conscious                  	conscious
that                       	that
Mrs.                       	Mrs.
Rachel                     	Rachel
was                        	was
sitting                    	sitting
at                         	at
her                        	her
window,                    	window,
keeping                    	keeping
a                          	a
sharp                      	sharp
eye                        	eye
on                         	on
everything                 	everything
that                       	that
passed,                    	passed,
from                       	from
brooks                     	brooks
and                        	and
children                   	children
up,                        	up,
and                        	and
that                       	that
if                         	if
she                        	she
noticed                    	noticed
anything                   	anything
odd                        	odd
or                         	or
out                        	out
of                         	of
place                      	place
she                        	she
would                      	would
never                      	never
rest                       	rest
until                      	until
she                        	she
had                        	had
ferreted                   	ferreted
out                        	out
the                        	the
whys                       	whys
and                        	and
wherefores                 	wherefores
thereof.                   	thereof.
There                      	There
are                        	are
plenty                     	plenty
of                         	of
people                     	people,                    	.
in                         	in
Avonlea                    	Avonlea
and                        	and
out                        	out
of                         	of
it,                        	it,
who                        	who
can                        	can
attend                     	attend
closely                    	closely
to                         	to
their                      	their
neighbor’s                 	neighbours'                	@
business                   	business
by                         	by
dint                       	dint
of                         	of
neglecting                 	neglecting
their                      	their
own;                       	own;
but                        	but
Mrs.                       	Mrs.
Rachel                     	Rachel
Lynde                      	Lynde
was                        	was
one                        	one
of                         	of
those                      	those
capable                    	capable
creatures                  	creatures
who                        	who
can                        	can
manage                     	manage
their                      	their
own                        	own
concerns                   	concerns
and                        	and
those                      	those
of                         	of
other                      	other
folks                      	folks
into                       	into
the                        	the
bargain.                   	bargain.
She                        	She
was                        	was
a                          	a
notable                    	notable
housewife;                 	housewife;
her                        	her
work                       	work
was                        	was
always                     	always
done                       	done
and                        	and
well                       	well
done;                      	done;
she                        	she
“ran”                      	"ran"                      	.
the                        	the
Sewing                     	Sewing
Circle,                    	Circle,
helped                     	helped
run                        	run
the                        	the
Sunday-school,             	Sunday-school,
and                        	and
was                        	was
the                        	the
strongest                  	strongest
prop                       	prop
of                         	of
the                        	the
Church                     	Church
Aid                        	Aid
Society                    	Society
and                        	and
Foreign                    	Foreign
Missions                   	Missions
Auxiliary.                 	Auxiliary.
Yet                        	Yet
with                       	with
all                        	all
this                       	this
Mrs.                       	Mrs.
Rachel                     	Rachel
found                      	found
abundant                   	abundant
time                       	time
to                         	to
sit                        	sit
for                        	for
hours                      	hours
at                         	at
her                        	her
kitchen                    	kitchen
window,                    	window,
knitting                   	knitting
“cotton                    	"cotton                    	.
warp”                      	warp"                      	.
quilts—she                 	quilts—she
had                        	had
knitted                    	knitted
sixteen                    	sixteen
of                         	of
them,                      	them,
as                         	as
Avonlea                    	Avonlea
housekeepers               	housekeepers
were                       	were
wont                       	wont
to                         	to
tell                       	tell
in                         	in
awed                       	awed
voices—and                 	voices—and
keeping                    	keeping
a                          	a
sharp                      	sharp
eye                        	eye
on                         	on
the                        	the
main                       	main
road                       	road
that                       	that
crossed                    	crossed
the                        	the
hollow                     	hollow
and                        	and
wound                      	wound
up                         	up
the                        	the
steep                      	steep
red                        	red
hill                       	hill
beyond.                    	beyond.
Since                      	Since
Avonlea                    	Avonlea
occupied                   	occupied
a                          	a
little                     	little
triangular                 	triangular
peninsula                  	peninsula
jutting                    	jutting
out                        	out
into                       	into
the                        	the
Gulf                       	Gulf
of                         	of
St.                        	St.
Lawrence                   	Lawrence,                  	.
with                       	with
water                      	water
on                         	on
two                        	two
sides                      	sides
of                         	of
it,                        	it,
anybody                    	anybody
who                        	who
went                       	went
out                        	out
of                         	of
it                         	it
or                         	or
into                       	into
it                         	it
had                        	had
to                         	to
pass                       	pass
over                       	over
that                       	that
hill                       	hill
road                       	road
and                        	and
so                         	so
run                        	run
the                        	the
unseen                     	unseen
gauntlet                   	gauntlet
of                         	of
Mrs.                       	Mrs.
Rachel’s                   	Rachel's                   	.
all-seeing                 	all-seeing
eye.                       	eye.
She                        	She
was                        	was
sitting                    	sitting
there                      	there
one                        	one
afternoon                  	afternoon
in                         	in
early                      	early
June.                      	June.
The                        	The
sun                        	sun
was                        	was
coming                     	coming
in                         	in
at                         	at
the                        	the
window                     	window
warm                       	warm
and                        	and
bright;                    	bright;
the                        	the
orchard                    	orchard
on                         	on
the                        	the
slope                      	slope
below                      	below
the                        	the
house                      	house
was                        	was
in                         	in
a                          	a
bridal                     	bridal
flush                      	flush
of                         	of
pinky-white                	pinky-white
bloom,                     	bloom,
hummed                     	hummed
over                       	over
by                         	by
a                          	a
myriad                     	myriad
of                         	of
bees.                      	bees.
Thomas                     	Thomas
Lynde—a                    	Lynde—a
meek                       	meek
little                     	little
man                        	man
whom                       	whom
Avonlea                    	Avonlea
people                     	people
called                     	called
“Rachel                    	"Rachel                    	.
Lynde’s                    	Lynde's                    	.
husband”—was               	husband"—was               	.
sowing                     	sowing
his                        	his
late                       	late
turnip                     	turnip
seed                       	seed
on                         	on
the                        	the
hill                       	hill
field                      	field
beyond                     	beyond
the                        	the
barn;                      	barn;
and                        	and
Matthew                    	Matthew
Cuthbert                   	Cuthbert
ought                      	ought
to                         	to
have                       	have
been                       	been
sowing                     	sowing
his                        	his
on                         	on
the                        	the
big                        	big
red                        	red
brook                      	brook
field                      	field
away                       	away
over                       	over
by                         	by
Green                      	Green
Gables.                    	Gables.
Mrs.                       	Mrs.
Rachel                     	Rachel
knew                       	knew
that                       	that
he                         	he
ought                      	ought
because                    	because
she                        	she
had                        	had
heard                      	heard
him                        	him
tell                       	tell
Peter                      	Peter
Morrison                   	Morrison
the                        	the
evening                    	evening
before                     	before
in                         	in
William                    	William
J.                         	J.
Blair’s                    	Blair's                    	.
store                      	store
over                       	over
at                         	at
Carmody                    	Carmody
that                       	that
he                         	he
meant                      	meant
to                         	to
sow                        	sow
his                        	his
turnip                     	turnip
seed                       	seed
